OBJECTID,Latitude,Longitude
1,8.05295,-77.7539
2,7.998,-77.711
3,7.942,-77.703
4,8.157134,-77.628513
5,7.876726,-77.6031
6,7.840629,-77.624867
7,7.76,-77.72
8,7.624797,-77.701524
9,7.99,-77.71
10,7.77,-77.73
11,7.865496,-77.680432
12,8.059523,-77.799282
13,7.868752,-77.654415
14,8.184077,-77.798356
15,7.810128,-77.885401
16,7.762,-77.724
17,7.774,-77.733
18,7.707723,-77.629664
19,7.974803,-77.69399
20,7.931752,-77.662616
21,7.601887,-77.615155
22,8.159338,-77.742295
23,7.655785,-77.781456
24,7.706615,-77.67025
25,7.901239,-77.693962
