Latitude,Longitude
5.805221,-75.758915
5.054813,-75.684602
5.981531,-75.761407
4.814198,-75.797497
4.28243,-74.47661
3.349503,-76.524095
3.876328,-76.347008
4.333652,-76.260124
4.063401,-76.201964
4.721328,-74.099817
5.810403,-75.69039
5.810872,-75.690127
5.813069,-75.686412
5.815069,-75.683789
5.812002,-75.690142
5.804001,-75.693673
5.801161,-75.693066
5.80922,-75.694735
5.797362,-75.699611
5.799584,-75.702286
5.804782,-75.702508
5.805114,-75.701506
5.79606,-75.703207
5.797057,-75.704323
5.791976,-75.703839
5.791,-75.700457
5.785509,-75.695054
4.742132,-73.264725
5.44961,-75.54841
3.865625,-76.347687
4.552821,-76.084881
6.2261,-75.84047
4.583278,-76.119139
4.02978,-76.15581
4.02588,-76.1619
4.02907,-76.15619
4.02933,-76.16085
4.03435,-76.16509
4.02975,-76.16077
4.03829,-76.16944
4.03732,-76.16862
4.059917,-76.309194
4.580556,-75.853611
6.842742,-75.849823
6.839482,-75.8514
6.830801,-75.8682
6.842435,-75.849627
6.839724,-75.852229
6.845723,-75.845369
6.842049,-75.851294
6.842887,-75.84942
6.845697,-75.84554
6.845208,-75.849088
6.839736,-75.851788
6.845697,-75.845531
6.845503,-75.845738
6.839427,-75.852154
6.841108,-75.850555
6.840124,-75.851246
6.840957,-75.850972
6.839688,-75.852038
6.840247,-75.851838
6.840363,-75.851652
6.842539,-75.84982
7.071863,-75.690915
6.839385,-75.85235
6.845655,-75.845764
6.84148,-75.850586
6.839593,-75.851884
6.887107,-75.830454
7.071866,-75.690914
6.83904,-75.852449
6.843149,-75.84927
6.839569,-75.851764
5.01942,-75.77378
4.308227,-74.443707
4.316667,-75.1
4.923269,-75.858002
5.01575,-75.784306
5.241528,-75.686417
4.697833,-75.834778
4.866765,-75.8531
3.83324,-76.29918
3.83324,-76.29942
3.8337,-76.29212
3.83594,-76.30008
3.83576,-76.29937
4.41266,-75.818882
